id,name,market_hash_name
39,AK-47 | Redline (Factory New),G1807209A023004
95,StatTrak™ Dual Berettas | Balance (Minimal Wear),G180220FF063004
96,StatTrak™ Dual Berettas | Balance (Field-Tested),G180220FF063004
97,StatTrak™ Dual Berettas | Balance (Well-Worn),G180220FF063004
98,StatTrak™ Dual Berettas | Balance (Battle-Scarred),G180220FF063004
99,Sawed-Off | Rust Coat (Factory New),G181D20C3023004
100,Sawed-Off | Rust Coat (Minimal Wear),G181D20C3023004
101,Sawed-Off | Rust Coat (Field-Tested),G181D20C3023004
102,Sawed-Off | Rust Coat (Well-Worn),G181D20C3023004
103,Sawed-Off | Rust Coat (Battle-Scarred),G181D20C3023004
104,StatTrak™ Dual Berettas | Shred (Factory New),G180220C6053004
105,StatTrak™ Dual Berettas | Shred (Minimal Wear),G180220C6053004
106,StatTrak™ Dual Berettas | Shred (Field-Tested),G180220C6053004
107,StatTrak™ Dual Berettas | Shred (Well-Worn),G180220C6053004
108,StatTrak™ Dual Berettas | Shred (Battle-Scarred),G180220C6053004
109,StatTrak™ AK-47 | Fuel Injector (Factory New),G1807208C043004
110,StatTrak™ AK-47 | Fuel Injector (Minimal Wear),G1807208C043004
111,StatTrak™ AK-47 | Fuel Injector (Field-Tested),G1807208C043004
112,StatTrak™ AK-47 | Fuel Injector (Well-Worn),G1807208C043004
113,StatTrak™ AK-47 | Fuel Injector (Battle-Scarred),G1807208C043004
114,StatTrak™ Dual Berettas | Elite 1.6 (Factory New),G18022087073004
115,StatTrak™ Dual Berettas | Elite 1.6 (Minimal Wear),G18022087073004
116,StatTrak™ Dual Berettas | Elite 1.6 (Field-Tested),G18022087073004
117,StatTrak™ Dual Berettas | Elite 1.6 (Well-Worn),G18022087073004
118,StatTrak™ Dual Berettas | Elite 1.6 (Battle-Scarred),G18022087073004
119,P90 | Attack Vector (Factory New),G181320A8073004
120,P90 | Attack Vector (Minimal Wear),G181320A8073004
121,P90 | Attack Vector (Field-Tested),G181320A8073004
122,P90 | Attack Vector (Well-Worn),G181320A8073004
123,P90 | Attack Vector (Battle-Scarred),G181320A8073004
124,StatTrak™ UMP-45 | Labyrinth (Factory New),G181820EA023004
125,StatTrak™ UMP-45 | Labyrinth (Minimal Wear),G181820EA023004
126,StatTrak™ UMP-45 | Labyrinth (Field-Tested),G181820EA023004
127,StatTrak™ UMP-45 | Labyrinth (Well-Worn),G181820EA023004
128,StatTrak™ UMP-45 | Labyrinth (Battle-Scarred),G181820EA023004
129,MAC-10 | Saibā Oni (Factory New),G1811207E3004
130,MAC-10 | Saibā Oni (Minimal Wear),G1811207E3004
131,MAC-10 | Saibā Oni (Field-Tested),G1811207E3004
132,MAC-10 | Saibā Oni (Well-Worn),G1811207E3004
133,MAC-10 | Saibā Oni (Battle-Scarred),G1811207E3004
134,StatTrak™ Desert Eagle | Crimson Web (Factory New),G180120E8013004
135,StatTrak™ Desert Eagle | Crimson Web (Minimal Wear),G180120E8013004
136,StatTrak™ Desert Eagle | Crimson Web (Field-Tested),G180120E8013004
137,StatTrak™ Desert Eagle | Crimson Web (Well-Worn),G180120E8013004
138,StatTrak™ Desert Eagle | Crimson Web (Battle-Scarred),G180120E8013004
139,StatTrak™ SSG 08 | Bloodshot (Factory New),G18282083073004
140,StatTrak™ SSG 08 | Bloodshot (Minimal Wear),G18282083073004
141,StatTrak™ SSG 08 | Bloodshot (Field-Tested),G18282083073004
142,StatTrak™ SSG 08 | Bloodshot (Well-Worn),G18282083073004
143,StatTrak™ SSG 08 | Bloodshot (Battle-Scarred),G18282083073004
144,M4A4 | Red DDPAT (Factory New),G1810209E073004
145,M4A4 | Red DDPAT (Minimal Wear),G1810209E073004
146,M4A4 | Red DDPAT (Field-Tested),G1810209E073004
147,M4A4 | Red DDPAT (Well-Worn),G1810209E073004
148,M4A4 | Red DDPAT (Battle-Scarred),G1810209E073004
149,★ Bayonet | Case Hardened (Factory New),G18F403202C3003
150,★ Bayonet | Case Hardened (Minimal Wear),G18F403202C3003
151,★ Bayonet | Case Hardened (Field-Tested),G18F403202C3003
152,★ Bayonet | Case Hardened (Well-Worn),G18F403202C3003
153,★ Bayonet | Case Hardened (Battle-Scarred),G18F403202C3003
154,★ Bayonet | Stained (Factory New),G18F403202B3003
155,★ Bayonet | Stained (Minimal Wear),G18F403202B3003
156,★ Bayonet | Stained (Field-Tested),G18F403202B3003
157,★ Bayonet | Stained (Well-Worn),G18F403202B3003
158,★ Bayonet | Stained (Battle-Scarred),G18F403202B3003
159,★ Bowie Knife | Urban Masked (Factory New),G188204208F013003
160,★ Bowie Knife | Urban Masked (Minimal Wear),G188204208F013003
161,★ Bowie Knife | Urban Masked (Field-Tested),G188204208F013003
162,★ Bowie Knife | Urban Masked (Well-Worn),G188204208F013003
163,★ Bowie Knife | Urban Masked (Battle-Scarred),G188204208F013003
164,★ Butterfly Knife | Slaughter (Factory New),G188304203B3003
165,★ Butterfly Knife | Slaughter (Minimal Wear),G188304203B3003
166,★ Butterfly Knife | Slaughter (Field-Tested),G188304203B3003
167,★ Butterfly Knife | Slaughter (Well-Worn),G188304203B3003
168,★ Butterfly Knife | Slaughter (Battle-Scarred),G188304203B3003
169,★ Classic Knife | Case Hardened (Factory New),G18F703202C3003
170,★ Classic Knife | Case Hardened (Minimal Wear),G18F703202C3003
171,★ Classic Knife | Case Hardened (Field-Tested),G18F703202C3003
172,★ Classic Knife | Case Hardened (Well-Worn),G18F703202C3003
173,★ Classic Knife | Case Hardened (Battle-Scarred),G18F703202C3003
174,P250 | Modern Hunter (Factory New),G182420A4013004
175,P250 | Modern Hunter (Minimal Wear),G182420A4013004
176,P250 | Modern Hunter (Field-Tested),G182420A4013004
177,P250 | Modern Hunter (Well-Worn),G182420A4013004
178,P250 | Modern Hunter (Battle-Scarred),G182420A4013004
179,P90 | Storm (Factory New),G181320643004
180,P90 | Storm (Minimal Wear),G181320643004
181,P90 | Storm (Field-Tested),G181320643004
182,P90 | Storm (Well-Worn),G181320643004
183,P90 | Storm (Battle-Scarred),G181320643004
184,★ Talon Knife | Case Hardened (Factory New),G188B04202C3003
185,★ Talon Knife | Case Hardened (Minimal Wear),G188B04202C3003
186,★ Talon Knife | Case Hardened (Field-Tested),G188B04202C3003
187,★ Talon Knife | Case Hardened (Well-Worn),G188B04202C3003
188,★ Talon Knife | Case Hardened (Battle-Scarred),G188B04202C3003
189,★ Talon Knife | Forest DDPAT (Factory New),G188B0420053003
190,★ Talon Knife | Forest DDPAT (Minimal Wear),G188B0420053003
191,★ Talon Knife | Forest DDPAT (Field-Tested),G188B0420053003
192,★ Talon Knife | Forest DDPAT (Well-Worn),G188B0420053003
193,★ Talon Knife | Forest DDPAT (Battle-Scarred),G188B0420053003
194,UMP-45 | Corporal (Factory New),G18182099023004
195,UMP-45 | Corporal (Minimal Wear),G18182099023004
196,UMP-45 | Corporal (Field-Tested),G18182099023004
197,UMP-45 | Corporal (Well-Worn),G18182099023004
198,UMP-45 | Corporal (Battle-Scarred),G18182099023004
199,MAC-10 | Echoing Sands (Factory New),G181120DC093004
200,MAC-10 | Echoing Sands (Minimal Wear),G181120DC093004
201,MAC-10 | Echoing Sands (Field-Tested),G181120DC093004
202,MAC-10 | Echoing Sands (Well-Worn),G181120DC093004
203,MAC-10 | Echoing Sands (Battle-Scarred),G181120DC093004
204,MAC-10 | Aloha (Factory New),G18112099053004
205,MAC-10 | Aloha (Minimal Wear),G18112099053004
206,MAC-10 | Aloha (Field-Tested),G18112099053004
207,MAC-10 | Aloha (Well-Worn),G18112099053004
208,MAC-10 | Aloha (Battle-Scarred),G18112099053004
209,StatTrak™ AWP | Oni Taiji (Factory New),G18092096053004
210,StatTrak™ AWP | Oni Taiji (Minimal Wear),G18092096053004
211,StatTrak™ AWP | Oni Taiji (Field-Tested),G18092096053004
212,StatTrak™ AWP | Oni Taiji (Well-Worn),G18092096053004
213,StatTrak™ AWP | Oni Taiji (Battle-Scarred),G18092096053004
214,StatTrak™ Glock-18 | Blue Fissure (Factory New),G18042096023004
215,StatTrak™ Glock-18 | Blue Fissure (Minimal Wear),G18042096023004
216,StatTrak™ Glock-18 | Blue Fissure (Field-Tested),G18042096023004
217,StatTrak™ Glock-18 | Blue Fissure (Well-Worn),G18042096023004
218,StatTrak™ Glock-18 | Blue Fissure (Battle-Scarred),G18042096023004
219,StatTrak™ MAC-10 | Last Dive (Factory New),G1811208B053004
220,StatTrak™ MAC-10 | Last Dive (Minimal Wear),G1811208B053004
221,StatTrak™ MAC-10 | Last Dive (Field-Tested),G1811208B053004
222,StatTrak™ MAC-10 | Last Dive (Well-Worn),G1811208B053004
223,StatTrak™ MAC-10 | Last Dive (Battle-Scarred),G1811208B053004
224,MAC-10 | Curse (Factory New),G181120B6023004
225,MAC-10 | Curse (Minimal Wear),G181120B6023004
226,MAC-10 | Curse (Field-Tested),G181120B6023004
227,MAC-10 | Curse (Well-Worn),G181120B6023004
228,MAC-10 | Curse (Battle-Scarred),G181120B6023004
229,★ Butterfly Knife | Blue Steel (Factory New),G188304202A3003
230,★ Butterfly Knife | Blue Steel (Minimal Wear),G188304202A3003
231,★ Butterfly Knife | Blue Steel (Field-Tested),G188304202A3003
232,★ Butterfly Knife | Blue Steel (Well-Worn),G188304202A3003
233,★ Butterfly Knife | Blue Steel (Battle-Scarred),G188304202A3003
234,★ Butterfly Knife | Crimson Web (Factory New),G188304200C3003
235,★ Butterfly Knife | Crimson Web (Minimal Wear),G188304200C3003
236,★ Butterfly Knife | Crimson Web (Field-Tested),G188304200C3003
237,★ Butterfly Knife | Crimson Web (Well-Worn),G188304200C3003
238,★ Butterfly Knife | Crimson Web (Battle-Scarred),G188304200C3003
239,★ Butterfly Knife | Ultraviolet (Factory New),G18830420623003
240,★ Butterfly Knife | Ultraviolet (Minimal Wear),G18830420623003
241,★ Butterfly Knife | Ultraviolet (Field-Tested),G18830420623003
242,★ Butterfly Knife | Ultraviolet (Well-Worn),G18830420623003
243,★ Butterfly Knife | Ultraviolet (Battle-Scarred),G18830420623003
244,★ Classic Knife | Stained (Factory New),G18F703202B3003
245,★ Classic Knife | Stained (Minimal Wear),G18F703202B3003
246,★ Classic Knife | Stained (Field-Tested),G18F703202B3003
247,★ Classic Knife | Stained (Well-Worn),G18F703202B3003
248,★ Classic Knife | Stained (Battle-Scarred),G18F703202B3003
249,MAC-10 | Strats (Factory New),G181120B3083004
250,MAC-10 | Strats (Minimal Wear),G181120B3083004
251,MAC-10 | Strats (Field-Tested),G181120B3083004
252,MAC-10 | Strats (Well-Worn),G181120B3083004
253,MAC-10 | Strats (Battle-Scarred),G181120B3083004
254,MAC-10 | Malachite (Factory New),G18112092033004
255,MAC-10 | Malachite (Minimal Wear),G18112092033004
256,MAC-10 | Malachite (Field-Tested),G18112092033004
257,MAC-10 | Malachite (Well-Worn),G18112092033004
258,MAC-10 | Malachite (Battle-Scarred),G18112092033004
259,StatTrak™ MAC-10 | Rangeen (Factory New),G181120F2033004
260,StatTrak™ MAC-10 | Rangeen (Minimal Wear),G181120F2033004
261,StatTrak™ MAC-10 | Rangeen (Field-Tested),G181120F2033004
262,StatTrak™ MAC-10 | Rangeen (Well-Worn),G181120F2033004
263,StatTrak™ MAC-10 | Rangeen (Battle-Scarred),G181120F2033004
264,★ Flip Knife | Black Laminate (Factory New),G18F90320B4043003
265,★ Flip Knife | Black Laminate (Minimal Wear),G18F90320B4043003
266,★ Flip Knife | Black Laminate (Field-Tested),G18F90320B4043003
267,★ Flip Knife | Black Laminate (Well-Worn),G18F90320B4043003
268,★ Flip Knife | Black Laminate (Battle-Scarred),G18F90320B4043003
269,★ Flip Knife | Fade (Factory New),G18F903209D033003
270,★ Flip Knife | Fade (Minimal Wear),G18F903209D033003
271,★ Flip Knife | Fade (Field-Tested),G18F903209D033003
272,★ Flip Knife | Fade (Well-Worn),G18F903209D033003
273,★ Flip Knife | Fade (Battle-Scarred),G18F903209D033003
274,★ Flip Knife | Lore (Factory New),G18F90320AF043003
275,★ Flip Knife | Lore (Minimal Wear),G18F90320AF043003
276,★ Flip Knife | Lore (Field-Tested),G18F90320AF043003
277,★ Flip Knife | Lore (Well-Worn),G18F90320AF043003
278,★ Flip Knife | Lore (Battle-Scarred),G18F90320AF043003
279,★ Karambit | Boreal Forest (Factory New),G18FB03204D3003
280,★ Karambit | Boreal Forest (Minimal Wear),G18FB03204D3003
281,★ Karambit | Boreal Forest (Field-Tested),G18FB03204D3003
282,★ Karambit | Boreal Forest (Well-Worn),G18FB03204D3003
283,★ Karambit | Boreal Forest (Battle-Scarred),G18FB03204D3003
284,StatTrak™ G3SG1 | Keeping Tabs (Factory New),G180B20C7083004
285,StatTrak™ G3SG1 | Keeping Tabs (Minimal Wear),G180B20C7083004
286,StatTrak™ G3SG1 | Keeping Tabs (Field-Tested),G180B20C7083004
287,StatTrak™ G3SG1 | Keeping Tabs (Well-Worn),G180B20C7083004
288,StatTrak™ G3SG1 | Keeping Tabs (Battle-Scarred),G180B20C7083004
289,Revolution Case,G1890263004
290,Five-SeveN | Heat Treated (Factory New),G180320BF063004
291,Five-SeveN | Heat Treated (Minimal Wear),G180320BF063004
292,Five-SeveN | Heat Treated (Field-Tested),G180320BF063004
293,Five-SeveN | Heat Treated (Well-Worn),G180320BF063004
294,Five-SeveN | Heat Treated (Battle-Scarred),G180320BF063004
295,★ M9 Bayonet | Case Hardened (Factory New),G18FC03202C3003
296,★ M9 Bayonet | Case Hardened (Minimal Wear),G18FC03202C3003
297,★ M9 Bayonet | Case Hardened (Field-Tested),G18FC03202C3003
298,★ M9 Bayonet | Case Hardened (Well-Worn),G18FC03202C3003
299,★ M9 Bayonet | Case Hardened (Battle-Scarred),G18FC03202C3003
300,MP9 | Pandora's Box (Factory New),G182220C0033004
301,MP9 | Pandora's Box (Minimal Wear),G182220C0033004
302,MP9 | Pandora's Box (Field-Tested),G182220C0033004
303,MP9 | Pandora's Box (Well-Worn),G182220C0033004
304,MP9 | Pandora's Box (Battle-Scarred),G182220C0033004
305,UMP-45 | Crime Scene (Factory New),G181820EB073004
306,UMP-45 | Crime Scene (Minimal Wear),G181820EB073004
307,UMP-45 | Crime Scene (Field-Tested),G181820EB073004
308,UMP-45 | Crime Scene (Well-Worn),G181820EB073004
309,UMP-45 | Crime Scene (Battle-Scarred),G181820EB073004
310,★ M9 Bayonet | Night (Factory New),G18FC0320283003
311,★ M9 Bayonet | Night (Minimal Wear),G18FC0320283003
312,★ M9 Bayonet | Night (Field-Tested),G18FC0320283003
313,★ M9 Bayonet | Night (Well-Worn),G18FC0320283003
314,★ M9 Bayonet | Night (Battle-Scarred),G18FC0320283003
315,UMP-45 | Day Lily (Factory New),G181820D5053004
316,UMP-45 | Day Lily (Minimal Wear),G181820D5053004
317,UMP-45 | Day Lily (Field-Tested),G181820D5053004
318,UMP-45 | Day Lily (Well-Worn),G181820D5053004
319,UMP-45 | Day Lily (Battle-Scarred),G181820D5053004
320,UMP-45 | Fade (Factory New),G181820EF063004
321,UMP-45 | Fade (Minimal Wear),G181820EF063004
322,UMP-45 | Fade (Field-Tested),G181820EF063004
323,UMP-45 | Fade (Well-Worn),G181820EF063004
324,UMP-45 | Fade (Battle-Scarred),G181820EF063004
325,★ M9 Bayonet | Slaughter (Factory New),G18FC03203B3003
326,★ M9 Bayonet | Slaughter (Minimal Wear),G18FC03203B3003
327,★ M9 Bayonet | Slaughter (Field-Tested),G18FC03203B3003
328,★ M9 Bayonet | Slaughter (Well-Worn),G18FC03203B3003
329,★ M9 Bayonet | Slaughter (Battle-Scarred),G18FC03203B3003
330,★ M9 Bayonet | Ultraviolet (Factory New),G18FC0320623003
331,★ M9 Bayonet | Ultraviolet (Minimal Wear),G18FC0320623003
332,★ M9 Bayonet | Ultraviolet (Field-Tested),G18FC0320623003
333,★ M9 Bayonet | Ultraviolet (Well-Worn),G18FC0320623003
334,★ M9 Bayonet | Ultraviolet (Battle-Scarred),G18FC0320623003
335,AUG | Midnight Lily (Factory New),G180820D7053004
336,AUG | Midnight Lily (Minimal Wear),G180820D7053004
337,AUG | Midnight Lily (Field-Tested),G180820D7053004
338,AUG | Midnight Lily (Well-Worn),G180820D7053004
339,AUG | Midnight Lily (Battle-Scarred),G180820D7053004
340,CZ75-Auto | Nitro (Factory New),G183F20C2023004
341,CZ75-Auto | Nitro (Minimal Wear),G183F20C2023004
342,CZ75-Auto | Nitro (Field-Tested),G183F20C2023004
343,CZ75-Auto | Nitro (Well-Worn),G183F20C2023004
344,CZ75-Auto | Nitro (Battle-Scarred),G183F20C2023004
345,★ Paracord Knife | Blue Steel (Factory New),G188504202A3003
346,★ Paracord Knife | Blue Steel (Minimal Wear),G188504202A3003
347,★ Paracord Knife | Blue Steel (Field-Tested),G188504202A3003
348,★ Paracord Knife | Blue Steel (Well-Worn),G188504202A3003
349,★ Paracord Knife | Blue Steel (Battle-Scarred),G188504202A3003
350,CZ75-Auto | Poison Dart (Factory New),G183F20BB023004
351,CZ75-Auto | Poison Dart (Minimal Wear),G183F20BB023004
352,CZ75-Auto | Poison Dart (Field-Tested),G183F20BB023004
353,CZ75-Auto | Poison Dart (Well-Worn),G183F20BB023004
354,CZ75-Auto | Poison Dart (Battle-Scarred),G183F20BB023004
355,★ Stiletto Knife | Night Stripe (Factory New),G188A0420DF053003
356,★ Stiletto Knife | Night Stripe (Minimal Wear),G188A0420DF053003
357,★ Stiletto Knife | Night Stripe (Field-Tested),G188A0420DF053003
358,★ Stiletto Knife | Night Stripe (Well-Worn),G188A0420DF053003
359,★ Stiletto Knife | Night Stripe (Battle-Scarred),G188A0420DF053003
360,Desert Eagle | Hand Cannon (Factory New),G180120C8023004
361,Desert Eagle | Hand Cannon (Minimal Wear),G180120C8023004
362,Desert Eagle | Hand Cannon (Field-Tested),G180120C8023004
363,Desert Eagle | Hand Cannon (Well-Worn),G180120C8023004
364,Desert Eagle | Hand Cannon (Battle-Scarred),G180120C8023004
365,★ Karambit | Forest DDPAT (Factory New),G18FB0320053003
366,★ Karambit | Forest DDPAT (Minimal Wear),G18FB0320053003
367,★ Karambit | Forest DDPAT (Field-Tested),G18FB0320053003
368,★ Karambit | Forest DDPAT (Well-Worn),G18FB0320053003
369,★ Karambit | Forest DDPAT (Battle-Scarred),G18FB0320053003
370,★ Survival Knife | Blue Steel (Factory New),G188604202A3003
371,★ Survival Knife | Blue Steel (Minimal Wear),G188604202A3003
372,★ Survival Knife | Blue Steel (Field-Tested),G188604202A3003
373,★ Survival Knife | Blue Steel (Well-Worn),G188604202A3003
374,★ Survival Knife | Blue Steel (Battle-Scarred),G188604202A3003
375,★ Karambit | Night (Factory New),G18FB0320283003
376,★ Karambit | Night (Minimal Wear),G18FB0320283003
377,★ Karambit | Night (Field-Tested),G18FB0320283003
378,★ Karambit | Night (Well-Worn),G18FB0320283003
379,★ Karambit | Night (Battle-Scarred),G18FB0320283003
380,★ Talon Knife | Slaughter (Factory New),G188B04203B3003
381,★ Talon Knife | Slaughter (Minimal Wear),G188B04203B3003
382,★ Talon Knife | Slaughter (Field-Tested),G188B04203B3003
383,★ Talon Knife | Slaughter (Well-Worn),G188B04203B3003
384,★ Talon Knife | Slaughter (Battle-Scarred),G188B04203B3003
385,★ Ursus Knife | Forest DDPAT (Factory New),G18870420053003
386,★ Ursus Knife | Forest DDPAT (Minimal Wear),G18870420053003
387,★ Ursus Knife | Forest DDPAT (Field-Tested),G18870420053003
388,★ Ursus Knife | Forest DDPAT (Well-Worn),G18870420053003
389,★ Ursus Knife | Forest DDPAT (Battle-Scarred),G18870420053003
390,P90 | Run and Hide (Factory New),G181320E8073004
391,P90 | Run and Hide (Minimal Wear),G181320E8073004
392,P90 | Run and Hide (Field-Tested),G181320E8073004
393,P90 | Run and Hide (Well-Worn),G181320E8073004
394,P90 | Run and Hide (Battle-Scarred),G181320E8073004
395,★ Karambit | Scorched (Factory New),G18FB0320AF013003
396,★ Karambit | Scorched (Minimal Wear),G18FB0320AF013003
397,★ Karambit | Scorched (Field-Tested),G18FB0320AF013003
398,★ Karambit | Scorched (Well-Worn),G18FB0320AF013003
399,★ Karambit | Scorched (Battle-Scarred),G18FB0320AF013003
400,StatTrak™ Galil AR | Akoben (Factory New),G180D20CA063004
401,StatTrak™ Galil AR | Akoben (Minimal Wear),G180D20CA063004
402,StatTrak™ Galil AR | Akoben (Field-Tested),G180D20CA063004
403,StatTrak™ Galil AR | Akoben (Well-Worn),G180D20CA063004
404,StatTrak™ Galil AR | Akoben (Battle-Scarred),G180D20CA063004
405,StatTrak™ M4A4 | Magnesium (Factory New),G181020AB063004
406,StatTrak™ M4A4 | Magnesium (Minimal Wear),G181020AB063004
407,StatTrak™ M4A4 | Magnesium (Field-Tested),G181020AB063004
408,StatTrak™ M4A4 | Magnesium (Well-Worn),G181020AB063004
409,StatTrak™ M4A4 | Magnesium (Battle-Scarred),G181020AB063004
410,StatTrak™ M249 | Nebula Crusader (Factory New),G180E20F0033004
411,StatTrak™ M249 | Nebula Crusader (Minimal Wear),G180E20F0033004
412,StatTrak™ M249 | Nebula Crusader (Field-Tested),G180E20F0033004
413,StatTrak™ M249 | Nebula Crusader (Well-Worn),G180E20F0033004
414,StatTrak™ M249 | Nebula Crusader (Battle-Scarred),G180E20F0033004
415,StatTrak™ M249 | System Lock (Factory New),G180E2091033004
416,StatTrak™ M249 | System Lock (Minimal Wear),G180E2091033004
417,StatTrak™ M249 | System Lock (Field-Tested),G180E2091033004
418,StatTrak™ M249 | System Lock (Well-Worn),G180E2091033004
419,StatTrak™ M249 | System Lock (Battle-Scarred),G180E2091033004
420,StatTrak™ M4A1-S | Dark Water (Factory New),G183C203C3004
421,StatTrak™ M4A1-S | Dark Water (Minimal Wear),G183C203C3004
422,StatTrak™ M4A1-S | Dark Water (Field-Tested),G183C203C3004
423,StatTrak™ M4A1-S | Dark Water (Well-Worn),G183C203C3004
424,StatTrak™ M4A1-S | Dark Water (Battle-Scarred),G183C203C3004
425,P250 | Small Game (Factory New),G18242086063004
426,P250 | Small Game (Minimal Wear),G18242086063004
427,P250 | Small Game (Field-Tested),G18242086063004
428,P250 | Small Game (Well-Worn),G18242086063004
429,P250 | Small Game (Battle-Scarred),G18242086063004
430,★ Karambit | Ultraviolet (Factory New),G18FB0320623003
431,★ Karambit | Ultraviolet (Minimal Wear),G18FB0320623003
432,★ Karambit | Ultraviolet (Field-Tested),G18FB0320623003
433,★ Karambit | Ultraviolet (Well-Worn),G18FB0320623003
434,★ Karambit | Ultraviolet (Battle-Scarred),G18FB0320623003
435,★ M9 Bayonet | Autotronic (Factory New),G18FC0320C1043003
436,★ M9 Bayonet | Autotronic (Minimal Wear),G18FC0320C1043003
437,★ M9 Bayonet | Autotronic (Field-Tested),G18FC0320C1043003
438,★ M9 Bayonet | Autotronic (Well-Worn),G18FC0320C1043003
439,★ M9 Bayonet | Autotronic (Battle-Scarred),G18FC0320C1043003
440,★ M9 Bayonet | Bright Water (Factory New),G18FC0320C3043003
441,★ M9 Bayonet | Bright Water (Minimal Wear),G18FC0320C3043003
442,★ M9 Bayonet | Bright Water (Field-Tested),G18FC0320C3043003
443,★ M9 Bayonet | Bright Water (Well-Worn),G18FC0320C3043003
444,★ M9 Bayonet | Bright Water (Battle-Scarred),G18FC0320C3043003
445,StatTrak™ MP5-SD | Acid Wash (Factory New),G181720F8063004
446,StatTrak™ MP5-SD | Acid Wash (Minimal Wear),G181720F8063004
447,StatTrak™ MP5-SD | Acid Wash (Field-Tested),G181720F8063004
448,StatTrak™ MP5-SD | Acid Wash (Well-Worn),G181720F8063004
449,StatTrak™ MP5-SD | Acid Wash (Battle-Scarred),G181720F8063004
450,★ M9 Bayonet | Forest DDPAT (Factory New),G18FC0320053003
451,★ M9 Bayonet | Forest DDPAT (Minimal Wear),G18FC0320053003
452,★ M9 Bayonet | Forest DDPAT (Field-Tested),G18FC0320053003
453,★ M9 Bayonet | Forest DDPAT (Well-Worn),G18FC0320053003
454,★ M9 Bayonet | Forest DDPAT (Battle-Scarred),G18FC0320053003
455,★ M9 Bayonet | Scorched (Factory New),G18FC0320AF013003
456,★ M9 Bayonet | Scorched (Minimal Wear),G18FC0320AF013003
